population,raw_cosine,calibrated
whole corpus,0.264466,0.0
whole corpus,0.34017086,0.0
whole corpus,0.3112153,0.0
whole corpus,0.156592,0.0
whole corpus,0.32704276,0.0
whole corpus,0.1359157,0.0
whole corpus,0.3000283,0.0
whole corpus,0.33022803,0.0
whole corpus,0.39948463,0.0
whole corpus,0.2766477,0.0
whole corpus,0.24709643,0.0
whole corpus,0.37037182,0.0
whole corpus,0.28782186,0.0
whole corpus,0.3142664,0.0
whole corpus,0.29828733,0.0
whole corpus,0.27827057,0.0
whole corpus,0.3275873,0.0
whole corpus,0.30294245,0.0
whole corpus,0.2676915,0.0
whole corpus,0.12873992,0.0
whole corpus,0.33498654,0.0
whole corpus,0.31472582,0.0
whole corpus,0.22256362,0.0
whole corpus,0.21413429,0.0
whole corpus,0.36769065,0.0
whole corpus,0.4541917,0.0
whole corpus,0.3485471,0.0
whole corpus,0.4730894,0.0
whole corpus,0.13228491,0.0
whole corpus,0.3018836,0.0
whole corpus,0.53499347,0.0
whole corpus,0.30201536,0.0
whole corpus,0.28899562,0.0
whole corpus,0.43106216,0.0
whole corpus,0.20895146,0.0
whole corpus,0.21783143,0.0
whole corpus,0.2054573,0.0
whole corpus,0.32502094,0.0
whole corpus,0.37734473,0.0
whole corpus,0.47414896,0.0
whole corpus,0.43483117,0.0
whole corpus,0.5623789,0.0
whole corpus,0.22857961,0.0
whole corpus,0.35432357,0.0
whole corpus,0.21318479,0.0
whole corpus,0.5930573,0.3716445853093917
whole corpus,0.34086284,0.0
whole corpus,0.15596887,0.0
whole corpus,0.10746151,0.0
whole corpus,0.38949025,0.0
whole corpus,0.330972,0.0
whole corpus,0.31101692,0.0
whole corpus,0.32413748,0.0
whole corpus,0.35680193,0.0
whole corpus,0.43902493,0.0
whole corpus,0.39626026,0.0
whole corpus,0.32476452,0.0
whole corpus,0.21145046,0.0
whole corpus,0.14425397,0.0
whole corpus,0.16203251,0.0
whole corpus,0.38651833,0.0
whole corpus,0.5640474,0.0009716071375939654
whole corpus,0.14447968,0.0
whole corpus,0.3099753,0.0
whole corpus,0.2826162,0.0
whole corpus,0.23427106,0.0
whole corpus,0.3908729,0.0
whole corpus,0.31378752,0.0
whole corpus,0.4643633,0.0
whole corpus,0.3008396,0.0
whole corpus,0.29215008,0.0
whole corpus,0.18960176,0.0
whole corpus,0.3180486,0.0
whole corpus,0.3161227,0.0
whole corpus,0.34976178,0.0
whole corpus,0.32179993,0.0
whole corpus,0.22675413,0.0
whole corpus,0.36856425,0.0
whole corpus,0.40047815,0.0
whole corpus,0.5089366,0.0
whole corpus,0.2162162,0.0
whole corpus,0.46766758,0.0
whole corpus,0.31126967,0.0
whole corpus,0.4295668,0.0
whole corpus,0.1387584,0.0
whole corpus,0.36164266,0.0
whole corpus,0.20942038,0.0
whole corpus,0.17313135,0.0
whole corpus,0.28019458,0.0
whole corpus,0.30030704,0.0
whole corpus,0.13118729,0.0
whole corpus,0.27735937,0.0
whole corpus,0.48758522,0.0
whole corpus,0.191856,0.0
whole corpus,0.33345565,0.0
whole corpus,0.3684739,0.0
whole corpus,0.3072217,0.0
whole corpus,0.06385878,0.0
whole corpus,0.31241423,0.0
whole corpus,0.224064,0.0
whole corpus,0.23693871,0.0
whole corpus,0.29669183,0.0
whole corpus,0.103932366,0.0
whole corpus,0.26097435,0.0
whole corpus,0.2513711,0.0
whole corpus,0.44922307,0.0
whole corpus,0.24816628,0.0
whole corpus,0.232547,0.0
whole corpus,0.33301425,0.0
whole corpus,0.27278197,0.0
whole corpus,0.4352751,0.0
whole corpus,0.31117752,0.0
whole corpus,0.44609943,0.0
whole corpus,0.32092643,0.0
whole corpus,0.29903328,0.0
whole corpus,0.24644831,0.0
whole corpus,0.3359623,0.0
whole corpus,0.4075625,0.0
whole corpus,0.21635248,0.0
whole corpus,0.36264893,0.0
whole corpus,0.26091462,0.0
whole corpus,0.3406381,0.0
whole corpus,0.45050806,0.0
whole corpus,0.111980215,0.0
whole corpus,0.26409596,0.0
whole corpus,0.44547477,0.0
whole corpus,0.21079783,0.0
whole corpus,0.32904384,0.0
whole corpus,0.38725835,0.0
whole corpus,0.30741256,0.0
whole corpus,0.31275663,0.0
whole corpus,0.19581953,0.0
whole corpus,0.35136557,0.0
whole corpus,0.4936347,0.0
whole corpus,0.24019837,0.0
whole corpus,0.32733232,0.0
whole corpus,0.16182236,0.0
whole corpus,0.116603695,0.0
whole corpus,0.3261008,0.0
whole corpus,0.52421486,0.0
whole corpus,0.5024734,0.0
whole corpus,0.27540737,0.0
whole corpus,0.15996657,0.0
whole corpus,0.3619815,0.0
whole corpus,0.3598221,0.0
whole corpus,0.385751,0.0
whole corpus,0.28510016,0.0
whole corpus,0.3029965,0.0
whole corpus,0.40126416,0.0
whole corpus,0.3409548,0.0
whole corpus,0.3208493,0.0
whole corpus,0.3020448,0.0
whole corpus,0.2654192,0.0
whole corpus,0.53198296,0.0
whole corpus,0.34439757,0.0
whole corpus,0.28725386,0.0
whole corpus,0.47579718,0.0
whole corpus,0.4118619,0.0
whole corpus,0.272775,0.0
whole corpus,0.32234,0.0
whole corpus,0.12118386,0.0
whole corpus,0.35899216,0.0
whole corpus,0.36318398,0.0
whole corpus,0.2290557,0.0
whole corpus,0.12433748,0.0
whole corpus,0.48966998,0.0
whole corpus,0.2754231,0.0
whole corpus,0.4231544,0.0
whole corpus,0.30192125,0.0
whole corpus,0.47375852,0.0
whole corpus,0.32711524,0.0
whole corpus,0.1983504,0.0
whole corpus,0.52898,0.0
whole corpus,0.24473381,0.0
whole corpus,0.24466427,0.0
whole corpus,0.2821812,0.0
whole corpus,0.29617646,0.0
whole corpus,0.43795592,0.0
whole corpus,0.24599618,0.0
whole corpus,0.35148227,0.0
whole corpus,0.26080057,0.0
whole corpus,0.30199218,0.0
whole corpus,0.2699026,0.0
whole corpus,0.35669026,0.0
whole corpus,0.34279317,0.0
whole corpus,0.1342625,0.0
whole corpus,0.14674509,0.0
whole corpus,0.33350962,0.0
whole corpus,0.3520153,0.0
whole corpus,0.43902493,0.0
whole corpus,0.21619286,0.0
whole corpus,0.24801712,0.0
whole corpus,0.26575816,0.0
whole corpus,0.18884054,0.0
whole corpus,0.34215826,0.0
whole corpus,0.13651508,0.0
whole corpus,0.19603097,0.0
whole corpus,0.43738672,0.0
whole corpus,0.2938644,0.0
whole corpus,0.39039266,0.0
whole corpus,0.35015064,0.0
whole corpus,0.14863235,0.0
whole corpus,0.276081,0.0
whole corpus,0.27470374,0.0
whole corpus,0.31562918,0.0
whole corpus,0.22398421,0.0
whole corpus,0.20876834,0.0
whole corpus,0.43067497,0.0
whole corpus,0.23801062,0.0
whole corpus,0.16461419,0.0
whole corpus,0.34385115,0.0
whole corpus,0.17278947,0.0
whole corpus,0.23496498,0.0
whole corpus,0.25856626,0.0
whole corpus,0.38940185,0.0
whole corpus,0.32256615,0.0
whole corpus,0.42449567,0.0
whole corpus,0.37559614,0.0
whole corpus,0.305559,0.0
whole corpus,0.43902493,0.0
whole corpus,0.20720015,0.0
whole corpus,0.27710906,0.0
whole corpus,0.369229,0.0
whole corpus,0.29779962,0.0
whole corpus,0.2918207,0.0
whole corpus,0.06137778,0.0
whole corpus,0.20072311,0.0
whole corpus,0.3744796,0.0
whole corpus,0.22619596,0.0
whole corpus,0.109759495,0.0
whole corpus,0.29003227,0.0
whole corpus,0.18806858,0.0
whole corpus,0.24700993,0.0
whole corpus,0.49996272,0.0
whole corpus,0.21801761,0.0
whole corpus,0.2690722,0.0
whole corpus,0.29781103,0.0
whole corpus,0.2731249,0.0
whole corpus,0.3315586,0.0
whole corpus,0.17272,0.0
whole corpus,0.37832302,0.0
whole corpus,0.19759622,0.0
whole corpus,0.2601117,0.0
whole corpus,0.2996229,0.0
whole corpus,0.48424333,0.0
whole corpus,0.45723778,0.0
whole corpus,0.31891668,0.0
whole corpus,0.11008841,0.0
whole corpus,0.24166912,0.0
whole corpus,0.270987,0.0
whole corpus,0.25319022,0.0
whole corpus,0.6093012,0.5792010422909384
whole corpus,0.28880742,0.0
whole corpus,0.37502554,0.0
whole corpus,0.26898926,0.0
whole corpus,0.27034485,0.0
whole corpus,0.055409513,0.0
whole corpus,0.22329886,0.0
whole corpus,0.18203014,0.0
whole corpus,0.3952534,0.0
whole corpus,0.17541845,0.0
whole corpus,0.2894563,0.0
whole corpus,0.38480935,0.0
whole corpus,0.18535669,0.0
whole corpus,0.2606753,0.0
whole corpus,0.372927,0.0
whole corpus,0.51240194,0.0
whole corpus,0.19239253,0.0
whole corpus,0.30098066,0.0
whole corpus,0.2183001,0.0
whole corpus,0.36498857,0.0
whole corpus,0.39972627,0.0
whole corpus,0.26932335,0.0
whole corpus,0.34163088,0.0
whole corpus,0.57418156,0.13046058252864925
whole corpus,0.12808451,0.0
whole corpus,0.33285818,0.0
whole corpus,0.25279158,0.0
whole corpus,0.32388592,0.0
whole corpus,0.252142,0.0
whole corpus,0.38531762,0.0
whole corpus,0.29807833,0.0
whole corpus,0.22613135,0.0
whole corpus,0.26049614,0.0
whole corpus,0.16642305,0.0
whole corpus,0.36739987,0.0
whole corpus,0.3806741,0.0
whole corpus,0.27463746,0.0
whole corpus,0.24195611,0.0
whole corpus,0.3191508,0.0
whole corpus,0.14153245,0.0
whole corpus,0.3226884,0.0
whole corpus,0.33367494,0.0
whole corpus,0.2076615,0.0
whole corpus,0.31939346,0.0
whole corpus,0.25644147,0.0
whole corpus,0.5113805,0.0
whole corpus,0.28540218,0.0
whole corpus,0.22618327,0.0
whole corpus,0.38536543,0.0
whole corpus,0.1595154,0.0
whole corpus,0.4253552,0.0
whole corpus,0.2546656,0.0
whole corpus,0.27519524,0.0
whole corpus,0.28779763,0.0
whole corpus,0.25078517,0.0
whole corpus,0.20903796,0.0
whole corpus,0.49420908,0.0
whole corpus,0.3002259,0.0
whole corpus,0.15469712,0.0
whole corpus,0.104924515,0.0
whole corpus,0.34836367,0.0
whole corpus,0.3251468,0.0
whole corpus,0.48129904,0.0
whole corpus,0.30505145,0.0
whole corpus,0.47818446,0.0
whole corpus,0.19920017,0.0
whole corpus,0.28619537,0.0
whole corpus,0.40381208,0.0
whole corpus,0.2964576,0.0
whole corpus,0.27702016,0.0
whole corpus,0.22556752,0.0
whole corpus,0.08789122,0.0
